Paper ID,Publishable,Conference,Rationale
P019,1,cvpr,"This paper presents DeepSim, a novel semantic similarity metric for image registration, a core problem in computer vision.  CVPR's focus on computer vision algorithms and applications is directly addressed by DeepSim's application to improving the accuracy and efficiency of image registration across diverse modalities.  The empirical evaluation on multiple datasets, demonstrating superior performance compared to existing methods, strengthens its suitability for CVPR."
P020,1,emnlp,"This text describes a large-scale, multi-modal dataset (CompCars) for fine-grained car categorization and verification,  a task relevant to natural language processing (NLP).  The applications discussed—attribute prediction and verification—involve understanding and generating descriptions of cars, bridging vision and language. The dataset's creation and evaluation directly contribute to the advancement of computer vision techniques with NLP implications, making it suitable for EMNLP."
P021,1,emnlp,"This paper leverages natural language processing (NLP) and machine learning techniques on a large-scale dataset of real-world patient-doctor interactions (phone calls, text messages) within a tuberculosis treatment program.  The core contribution lies in building and evaluating models that predict patient adherence and optimize intervention strategies, directly addressing challenges in healthcare communication and resource allocation.  This makes it highly relevant to EMNLP's focus on NLP for real-world applications and impactful societal problems."
P022,1,kdd,"This text presents a novel approach to Bayesian Optimization (BO) leveraging deep learning for efficient global optimization in complex, high-dimensional scientific domains.  It addresses key KDD challenges by improving BO scalability and incorporating structural information via Bayesian Neural Networks (BNNs) and auxiliary data. The empirical results on real-world datasets demonstrate significant performance gains over traditional methods, showcasing the advancement of data mining techniques for scientific discovery."
P023,1,emnlp,"This paper presents a novel approach (DSDS) to low-resource cross-lingual part-of-speech tagging using distant supervision from disparate sources.  It directly addresses a key EMNLP theme:  improving NLP for low-resource languages.  The technical contribution lies in combining annotation projection, instance selection, and lexical resources within a neural network framework, achieving state-of-the-art results.  The empirical evaluation across multiple languages strengthens the findings' significance for the EMNLP community."
P024,0,none,"No conference assigned, so no rationale is provided."
P025,1,cvpr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P026,0,none,"No conference assigned, so no rationale is provided."
P027,1,cvpr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P028,1,emnlp,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P029,1,cvpr,"This text describes a CVPR-relevant competition focused on 3D object detection and trajectory prediction for autonomous driving.  It details a new large-scale dataset (150 minutes of labeled 3D perception data),  evaluation metrics (mAP, ADE, FDE), and winning approaches from participating teams.  The focus on novel methods in 3D computer vision applied to a challenging real-world problem (autonomous driving) directly aligns with CVPR's scope."
P030,0,none,"No conference assigned, so no rationale is provided."
P031,1,emnlp,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P032,0,none,"No conference assigned, so no rationale is provided."
P033,0,none,"No conference assigned, so no rationale is provided."
P034,0,none,"No conference assigned, so no rationale is provided."
P035,1,tmlr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P036,1,emnlp,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P037,1,kdd,"This text analyzes and reconciles conflicting scaling laws for large language models (LLMs) from two prominent studies (Kaplan et al., Chinchilla).  It uses analytical methods and empirical validation to identify the source of the discrepancy, focusing on parameter counting and computational resource definitions. This directly addresses KDD's interest in data mining, knowledge discovery, and the analysis of large datasets and complex models like LLMs.  The presented methodology and findings are relevant to improving the efficiency and scalability of future LLMs."
P038,1,kdd,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P039,1,kdd,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P040,0,none,"No conference assigned, so no rationale is provided."
P041,0,none,"No conference assigned, so no rationale is provided."
P042,1,cvpr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P043,1,kdd,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P044,1,kdd,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P045,1,cvpr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P046,0,none,"No conference assigned, so no rationale is provided."
P047,0,none,"No conference assigned, so no rationale is provided."
P048,0,none,"No conference assigned, so no rationale is provided."
P049,0,none,"No conference assigned, so no rationale is provided."
P050,1,cvpr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P051,1,kdd,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P052,1,tmlr,"This text presents novel theoretical results on the validity of Neural Tangent Kernel (NTK) approximations in deep learning, a core topic in TMLR.  It refines existing bounds on NTK approximation error, extending their applicability to longer training times.  The rigorous analysis, including proofs and detailed examples (e.g., two-layer networks), directly addresses fundamental questions about the theoretical underpinnings of deep learning training dynamics, a key area of interest for TMLR."
P053,1,emnlp,"This paper presents Alpha Discovery Neural Network (ADNN), a novel neural network architecture for automated financial feature generation.  It directly addresses EMNLP's focus on natural language processing and information extraction by applying deep learning techniques to financial time series data, a domain often requiring sophisticated feature engineering. The evaluation metrics (information coefficient, Sharpe ratio) and comparative analysis against Genetic Programming highlight the model's effectiveness and contribution to the field."
P054,0,none,"No conference assigned, so no rationale is provided."
P055,1,tmlr,"This text presents a novel and empirically validated improvement to Vision Transformers (ViTs).  The core contribution, ""Dual PatchNorm,"" a simple modification to layer normalization placement, consistently boosts performance across various tasks (image classification, contrastive learning, semantic segmentation) and datasets. This directly addresses TMLR's focus on machine learning theory and its practical applications, offering a significant empirical contribution with thorough analysis.  The detailed experimental results and ablation studies further strengthen its alignment."
P056,0,none,"No conference assigned, so no rationale is provided."
P057,0,none,"No conference assigned, so no rationale is provided."
P058,0,none,"No conference assigned, so no rationale is provided."
P059,0,none,"No conference assigned, so no rationale is provided."
P060,1,cvpr,"This text is miscategorized.  It describes a Python API for accessing the FrameNet lexical database, a linguistic resource.  CVPR (Computer Vision and Pattern Recognition) focuses on computer vision, not natural language processing.  The API's functionality, while potentially useful for NLP tasks related to image captioning or visual question answering, is not directly relevant to the core computer vision problems addressed by CVPR."
P061,0,none,"No conference assigned, so no rationale is provided."
P062,1,tmlr,"This paper addresses a key challenge in machine learning: adapting large pre-trained models to new tasks while preserving crucial properties like equivariance.  TMLR focuses on theoretical and methodological advances in machine learning, and this paper directly contributes by proposing a novel method leveraging regularization techniques to maintain equivariance during adaptation.  The empirical results demonstrating improved performance and equivariance preservation strongly support its relevance to the TMLR audience."
P063,1,emnlp,"This text describes a novel PyTorch library, DisentanglementPyTorch, for research and application in disentangled representation learning.  EMNLP's focus on natural language processing is broadened to encompass related areas like representation learning. This work directly contributes by providing a valuable tool and benchmark results for advancing research in this crucial area, impacting downstream NLP tasks relying on effective representations.  The presentation of algorithms, evaluation metrics, and experimental results is typical of EMNLP submissions."
P064,1,emnlp,"This paper presents emoji2vec, novel emoji embeddings trained using descriptions from the Unicode standard, not large corpora of social media posts.  EMNLP's focus on natural language processing, particularly within social media contexts, is directly addressed. The paper demonstrates improved performance on sentiment analysis, a core NLP task, showcasing the practical application of the proposed emoji representations and contributing a valuable new resource for the NLP community."
P065,1,emnlp,"This paper addresses a core NLP problem: discontinuous constituent parsing.  It proposes novel encodings of discontinuous structures for a sequence labeling approach, significantly improving efficiency compared to existing methods.  The empirical evaluation on multiple languages and architectures demonstrates the effectiveness of the proposed approach, aligning perfectly with EMNLP's focus on advancements in natural language processing models and techniques."
P066,1,cvpr,"This paper addresses a core CVPR theme: video captioning.  It presents novel methods to enhance LSTM-based video description generation by integrating linguistic knowledge from large text corpora.  The contributions include novel fusion techniques (early, late, deep) and the use of distributional word embeddings, evaluated on multiple datasets with both automated and human evaluation metrics focusing on grammatical correctness and descriptive quality.  These improvements directly relate to advancing computer vision's ability to understand and describe video content."
P067,0,none,"No conference assigned, so no rationale is provided."
P068,1,tmlr,"This text describes a novel deep learning approach to image compression, achieving high performance (MSSIM 0.972 at 0.15 bpp) with moderate computational complexity.  The core contributions involve advanced residual network architectures and subpixel convolution for efficient upsampling.  This directly addresses TMLR's focus on machine learning techniques for image and video processing, specifically advancing state-of-the-art image compression methods.  The detailed experimental results and analysis further strengthen its suitability."
P069,0,none,"No conference assigned, so no rationale is provided."
P070,1,cvpr,"This text is not suitable for CVPR.  CVPR focuses on computer *vision*, and this paper concerns *natural language processing* (NLP) and commonsense reasoning.  While NLP techniques might be *used* in some vision tasks, this paper's core contribution is a new benchmark dataset and methodology for evaluating NLP models, not a novel vision algorithm or application."
P071,0,none,"No conference assigned, so no rationale is provided."
P072,0,none,"No conference assigned, so no rationale is provided."
P073,1,kdd,"This paper presents JUEWUMC, a novel sample-efficient hierarchical reinforcement learning approach for mastering complex Minecraft gameplay.  Its focus on efficient learning from limited data, incorporating representation learning and imitation learning techniques, directly addresses key KDD themes of data mining, knowledge discovery, and efficient algorithm design in a challenging, real-world-relevant application.  The superior performance demonstrated in the MINERL competition further strengthens its relevance to the KDD community."
P074,0,none,"No conference assigned, so no rationale is provided."
P075,1,emnlp,"This paper is suitable for EMNLP because it addresses the crucial intersection of natural language processing (NLP) and privacy.  It focuses on the evaluation and improvement of privacy in synthetic data generation, a rapidly growing area with significant NLP applications. The paper analyzes existing methods, proposes future research directions, and includes a detailed technical discussion of privacy metrics and attack frameworks, all relevant to NLP's role in data analysis and generation."
P076,0,none,"No conference assigned, so no rationale is provided."
P077,1,neurips,"This text analyzes citation patterns in the NeurIPS publications between Chinese and American research communities, revealing a significant disconnect.  This directly addresses the conference's focus on machine learning research, specifically examining the sociological and potentially cultural factors influencing collaboration and knowledge dissemination within the field.  The quantitative analysis using citation graphs and the discussion of consequences are relevant contributions to the understanding of the broader ML ecosystem."
P078,1,cvpr,"This text is miscategorized.  It focuses on Named Entity Recognition (NER) in call center transcripts, a natural language processing (NLP) task.  CVPR (Computer Vision and Pattern Recognition) concentrates on computer vision, not NLP.  The paper's methodology involves deep learning (BiLSTM-CRF), but the core problem and application domain are purely textual, making it unsuitable for CVPR."
P079,1,emnlp,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P080,1,tmlr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P081,0,none,"No conference assigned, so no rationale is provided."
P082,1,cvpr,"This paper addresses a computer vision problem:  improving multi-step inference for question answering about instructional videos.  It leverages pre-trained video-text models (VideoCLIP) for improved video-text alignment,  a key contribution within CVPR's scope.  The core methodology focuses on multimodal feature extraction, attention mechanisms for grounding questions to video content, and  GRU-based multi-step inference—all relevant to computer vision and visual reasoning.  The empirical evaluation using a relevant dataset further strengthens its suitability for CVPR."
P083,0,none,"No conference assigned, so no rationale is provided."
P084,1,tmlr,"This paper addresses a core TMLR theme:  improving recommender systems.  It introduces MB-CAL, a novel model-based reinforcement learning approach designed to enhance sample efficiency and reduce variance in recommender systems, crucial for real-world deployment.  The rigorous empirical evaluation on real-world datasets and comparison against state-of-the-art methods directly contribute to the advancement of learning-to-rank and recommendation technologies within the TMLR scope."
P085,0,none,"No conference assigned, so no rationale is provided."
P086,1,kdd,"This text presents a novel approach to interpreting the inner workings of deep learning models for Natural Language Inference (NLI), a crucial task in Knowledge Discovery and Data Mining (KDD).  It focuses on visualizing attention and LSTM gating signals to understand model decisions, offering new strategies for interpreting complex neural network behavior and providing insights not accessible through traditional methods.  This directly contributes to the KDD community's interest in improving model explainability and understanding."
P087,0,none,"No conference assigned, so no rationale is provided."
P088,0,none,"No conference assigned, so no rationale is provided."
P089,0,none,"No conference assigned, so no rationale is provided."
P090,0,none,"No conference assigned, so no rationale is provided."
P091,1,emnlp,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P092,1,tmlr,"This text describes a novel early stopping strategy (ESWMV) for Deep Image Prior (DIP) models in computational imaging.  TMLR focuses on machine learning in the real world, and this work directly addresses a practical limitation of DIP – overfitting – by proposing a computationally efficient and broadly applicable ES method.  The empirical results across diverse inverse problems demonstrate its effectiveness and superiority over existing methods, aligning perfectly with TMLR's interest in practical and impactful machine learning solutions."
P093,1,tmlr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P094,1,kdd,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P095,0,none,"No conference assigned, so no rationale is provided."
P096,1,cvpr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P097,1,cvpr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P098,0,none,"No conference assigned, so no rationale is provided."
P099,0,none,"No conference assigned, so no rationale is provided."
P100,0,none,"No conference assigned, so no rationale is provided."
P101,0,none,"No conference assigned, so no rationale is provided."
P102,1,tmlr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P103,1,cvpr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P104,1,emnlp,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P105,1,kdd,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P106,0,none,"No conference assigned, so no rationale is provided."
P107,1,tmlr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P108,1,kdd,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P109,1,cvpr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P110,1,cvpr,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P111,0,none,"No conference assigned, so no rationale is provided."
P112,1,kdd,Error: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: Resource has been exhausted (e.g. check quota).
P113,0,none,"No conference assigned, so no rationale is provided."
P114,1,tmlr,"This paper presents Feature Flow Net (FFNet), a novel framework for efficient and robust 3D object detection in vehicle-infrastructure cooperative (V2I) systems.  Its focus on addressing the challenges of temporal asynchrony and limited bandwidth directly aligns with TMLR's interest in machine learning for real-time and resource-constrained applications.  FFNet's innovative use of compressed feature flow for data transmission and its demonstrated performance improvements make it a strong candidate for presentation."
P115,0,none,"No conference assigned, so no rationale is provided."
P116,1,emnlp,"This text describes AMRadio, a novel multi-teacher distillation method for training vision foundation models.  Its focus on merging multiple models (including vision-language models) and achieving improved performance on diverse downstream tasks (including those involving language understanding) directly aligns with EMNLP's interest in natural language processing and its intersection with computer vision.  The evaluation across various benchmarks further strengthens its relevance to the conference."
P117,0,none,"No conference assigned, so no rationale is provided."
P118,0,none,"No conference assigned, so no rationale is provided."
P119,1,tmlr,"This text presents Bladedisc, a novel dynamic shape compiler for deep learning that leverages symbolic shape analysis for memory optimization.  TMLR focuses on machine learning systems, and this paper directly addresses a critical challenge in efficient deep learning model training: managing the memory complexities of dynamically shaped tensors.  The work's focus on compiler optimization, empirical evaluation, and comparison to existing methods makes it a strong fit for the conference."
P120,0,none,"No conference assigned, so no rationale is provided."
P121,0,none,"No conference assigned, so no rationale is provided."
P122,1,kdd,"This text describes ClDet, a novel method for drone position estimation using clustering-based learning and multi-sensor data (LiDAR).  The core contribution lies in leveraging advanced clustering techniques (DBSCAN) to robustly track drones even with noisy or incomplete data. This addresses a key challenge in data mining and machine learning related to object tracking and  position estimation in complex, real-world scenarios, aligning perfectly with KDD's focus on data science and knowledge discovery."
P123,1,emnlp,"This text describes the NLC2CMD competition, focusing on the task of translating natural language to command-line instructions.  It details the challenges of adapting large pretrained models for this task, presents novel evaluation metrics (including energy efficiency), analyzes competing approaches (transformer models, IR methods), and discusses future directions.  This aligns perfectly with EMNLP's focus on natural language processing, specifically in the areas of  low-resource NLP, model adaptation, and evaluation metrics."
P124,1,cvpr,"This text is miscategorized.  CVPR (Computer Vision and Pattern Recognition) focuses on visual information processing.  This paper analyzes textual representations of speech, specifically the role of ""fillers"" (um, uh) in language models and their impact on downstream tasks like sentiment and confidence prediction.  The research is purely NLP-focused, lacking any visual data or computer vision techniques.  It's suitable for conferences like ACL or Interspeech, not CVPR."
P125,0,none,"No conference assigned, so no rationale is provided."
P126,1,tmlr,This paper addresses a core TMLR theme: improving model generalization.  It introduces a novel self-adaptive inference method for semantic segmentation that enhances out-of-distribution robustness without modifying model architecture or requiring extra training data.  The rigorous empirical evaluation across multiple datasets and comparisons to state-of-the-art methods strongly support its contribution to the field of trustworthy and robust machine learning.
P127,0,none,"No conference assigned, so no rationale is provided."
P128,1,neurips,"This paper presents a novel approach to multi-agent system control using Graph Neural Networks (GNNs) and Model-Based Reinforcement Learning (MBRL).  It addresses the challenging problem of sample inefficiency in MBRL for complex multi-agent scenarios. The use of GNNs for modeling agent interactions and the application to both discrete and continuous control problems are significant contributions aligning with NEURIPS' focus on fundamental advancements in machine learning, particularly in deep learning, reinforcement learning, and graph neural networks.  The empirical results demonstrate the effectiveness of the proposed method."
P129,0,none,"No conference assigned, so no rationale is provided."
P130,1,cvpr,"This text aligns with CVPR's focus on computer vision and pattern recognition through its investigation of layerwise transferability in deep neural networks across diverse datasets and tasks.  The research analyzes how features learned in one context transfer to others, impacting performance and revealing insights into the relationship between dataset characteristics, network architecture, and knowledge transfer.  The empirical observations and proposed proxy for task relatedness directly contribute to advancing deep learning techniques in computer vision."
P131,1,emnlp,"This text details a novel scene parsing algorithm that integrates semantic context into a probabilistic framework for improved image labeling accuracy, particularly for less frequently represented classes.  The focus on contextual understanding and the use of probabilistic models directly aligns with EMNLP's emphasis on natural language processing and related areas like computational linguistics and machine learning for text and image understanding.  The algorithm's improvement in handling diverse labels and contextual information is highly relevant to the conference's themes."
P132,1,cvpr,"This text describes an experiment using a Large Language Model (LLM) to automate the author checklist process for scientific paper submissions to a machine learning conference.  CVPR's focus on computer vision and pattern recognition is indirectly relevant; the core contribution is the development and evaluation of an LLM-based tool to improve the efficiency and quality of the peer-review process, a crucial aspect of the machine learning research community that CVPR serves.  The work presents quantitative and qualitative results of the LLM's performance, fitting well within CVPR's scope of computational methods in vision and related fields."
P133,0,none,"No conference assigned, so no rationale is provided."
P134,1,neurips,"This text presents novel research on adversarial robustness in Graph Neural Networks (GNNs), a significant area within machine learning.  It introduces a ""symbiotic"" attack combining poisoning and evasion, offering a more effective and realistic threat model than existing approaches. The work focuses on scalability and efficiency, addressing practical limitations of previous methods.  The empirical evaluation on benchmark datasets and various GNN architectures demonstrates the impact of this novel attack, directly contributing to the advancement of GNN security and robustness – key themes of NEURIPS."
P135,1,tmlr,"This abstract fits TMLR's scope because it directly addresses a core machine learning security challenge: adversarial robustness.  It evaluates two specific white-box defenses against adversarial examples, using established methodologies (PGD attacks), and presents empirical results demonstrating their ineffectiveness. This contributes to the ongoing research on enhancing the security and reliability of machine learning models, a key theme within TMLR."
